# Components bundled inside the PXF server application JAR (BOOT-INF/lib) of the
# convenience binary packages. Regenerate/verify with generate-binary-license.py.
#
# jar_file	coordinate	license_id	license_file	notes
netty-common-4.1.101.Final.jar	io.netty:netty-common:4.1.101.Final	Apache-2.0	-	
netty-transport-4.1.101.Final.jar	io.netty:netty-transport:4.1.101.Final	Apache-2.0	-	
objenesis-2.1.jar	org.objenesis:objenesis:2.1	Apache-2.0	-	
opencsv-2.3.jar	net.sf.opencsv:opencsv:2.3	Apache-2.0	-	
opentelemetry-api-1.49.0.jar	io.opentelemetry:opentelemetry-api:1.49.0	Apache-2.0	-	
opentelemetry-context-1.49.0.jar	io.opentelemetry:opentelemetry-context:1.49.0	Apache-2.0	-	
opentelemetry-semconv-1.29.0-alpha.jar	io.opentelemetry.semconv:opentelemetry-semconv:1.29.0-alpha	Apache-2.0	-	
orc-core-1.7.11.jar	org.apache.orc:orc-core:1.7.11	Apache-2.0	-	
orc-shims-1.7.11.jar	org.apache.orc:orc-shims:1.7.11	Apache-2.0	-	
parquet-column-1.15.2.jar	org.apache.parquet:parquet-column:1.15.2	Apache-2.0	-	
parquet-common-1.15.2.jar	org.apache.parquet:parquet-common:1.15.2	Apache-2.0	-	
parquet-encoding-1.15.2.jar	org.apache.parquet:parquet-encoding:1.15.2	Apache-2.0	-	
parquet-format-2.11.0.jar	org.apache.parquet:parquet-format:2.11.0	Apache-2.0	-	
parquet-format-structures-1.15.2.jar	org.apache.parquet:parquet-format-structures:1.15.2	Apache-2.0	-	
parquet-generator-1.15.2.jar	org.apache.parquet:parquet-generator:1.15.2	Apache-2.0	-	
parquet-hadoop-1.15.2.jar	org.apache.parquet:parquet-hadoop:1.15.2	Apache-2.0	-	
parquet-jackson-1.15.2.jar	org.apache.parquet:parquet-jackson:1.15.2	Apache-2.0	-	
postgresql-42.7.2.jar	org.postgresql:postgresql:42.7.2	BSD-2-Clause	LICENSE-postgresql.txt	bundles shaded com.ongres SCRAM/stringprep (BSD-2-Clause), see LICENSE-ongres-scram.txt
protobuf-java-2.5.0.jar	com.google.protobuf:protobuf-java:2.5.0	BSD-3-Clause	LICENSE-protobuf-java.txt	
pxf-api-*.jar	org.apache.cloudberry:pxf-api	Apache-2.0	-	PXF's own module; version follows the release
pxf-diagnostic-*.jar	org.apache.cloudberry:pxf-diagnostic	Apache-2.0	-	PXF's own module; version follows the release
pxf-hbase-*.jar	org.apache.cloudberry:pxf-hbase	Apache-2.0	-	PXF's own module; version follows the release
pxf-hdfs-*.jar	org.apache.cloudberry:pxf-hdfs	Apache-2.0	-	PXF's own module; version follows the release
pxf-hive-*.jar	org.apache.cloudberry:pxf-hive	Apache-2.0	-	PXF's own module; version follows the release
pxf-jdbc-*.jar	org.apache.cloudberry:pxf-jdbc	Apache-2.0	-	PXF's own module; version follows the release
pxf-json-*.jar	org.apache.cloudberry:pxf-json	Apache-2.0	-	PXF's own module; version follows the release
pxf-s3-*.jar	org.apache.cloudberry:pxf-s3	Apache-2.0	-	PXF's own module; version follows the release
reflectasm-1.11.6.jar	com.esotericsoftware:reflectasm:1.11.6	BSD-3-Clause	LICENSE-reflectasm.txt	
simpleclient-0.15.0.jar	io.prometheus:simpleclient:0.15.0	Apache-2.0	-	
simpleclient_common-0.15.0.jar	io.prometheus:simpleclient_common:0.15.0	Apache-2.0	-	
simpleclient_tracer_common-0.15.0.jar	io.prometheus:simpleclient_tracer_common:0.15.0	Apache-2.0	-	
simpleclient_tracer_otel-0.15.0.jar	io.prometheus:simpleclient_tracer_otel:0.15.0	Apache-2.0	-	
simpleclient_tracer_otel_agent-0.15.0.jar	io.prometheus:simpleclient_tracer_otel_agent:0.15.0	Apache-2.0	-	
slf4j-api-1.7.36.jar	org.slf4j:slf4j-api:1.7.36	MIT	LICENSE-slf4j.txt	
snakeyaml-1.30.jar	org.yaml:snakeyaml:1.30	Apache-2.0	-	
snappy-java-1.1.10.7.jar	org.xerial.snappy:snappy-java:1.1.10.7	Apache-2.0	-	
spring-aop-5.3.33.jar	org.springframework:spring-aop:5.3.33	Apache-2.0	-	
spring-beans-5.3.33.jar	org.springframework:spring-beans:5.3.33	Apache-2.0	-	
spring-boot-2.7.18.jar	org.springframework.boot:spring-boot:2.7.18	Apache-2.0	-	
spring-boot-actuator-2.7.18.jar	org.springframework.boot:spring-boot-actuator:2.7.18	Apache-2.0	-	
spring-boot-actuator-autoconfigure-2.7.18.jar	org.springframework.boot:spring-boot-actuator-autoconfigure:2.7.18	Apache-2.0	-	
spring-boot-autoconfigure-2.7.18.jar	org.springframework.boot:spring-boot-autoconfigure:2.7.18	Apache-2.0	-	
spring-context-5.3.33.jar	org.springframework:spring-context:5.3.33	Apache-2.0	-	
spring-core-5.3.33.jar	org.springframework:spring-core:5.3.33	Apache-2.0	-	
spring-expression-5.3.33.jar	org.springframework:spring-expression:5.3.33	Apache-2.0	-	
spring-web-5.3.33.jar	org.springframework:spring-web:5.3.33	Apache-2.0	-	
spring-webmvc-5.3.33.jar	org.springframework:spring-webmvc:5.3.33	Apache-2.0	-	
stax2-api-3.1.4.jar	org.codehaus.woodstox:stax2-api:3.1.4	BSD-2-Clause	LICENSE-stax2-api.txt	license text reconstructed from POM declaration + source headers
threeten-extra-1.5.0.jar	org.threeten:threeten-extra:1.5.0	BSD-3-Clause	LICENSE-threeten-extra.txt	
tomcat-embed-core-9.0.118.jar	org.apache.tomcat.embed:tomcat-embed-core:9.0.118	Apache-2.0	-	
tomcat-embed-el-9.0.118.jar	org.apache.tomcat.embed:tomcat-embed-el:9.0.118	Apache-2.0	-	
tomcat-embed-websocket-9.0.118.jar	org.apache.tomcat.embed:tomcat-embed-websocket:9.0.118	Apache-2.0	-	
univocity-parsers-2.9.1.jar	com.univocity:univocity-parsers:2.9.1	Apache-2.0	-	
wildfly-openssl-1.0.7.Final.jar	org.wildfly.openssl:wildfly-openssl:1.0.7.Final	Apache-2.0	-	
woodstox-core-5.0.3.jar	com.fasterxml.woodstox:woodstox-core:5.0.3	Apache-2.0	-	
xz-1.8.jar	org.tukaani:xz:1.8	Public Domain	LICENSE-xz.txt	
zookeeper-3.8.6.jar	org.apache.zookeeper:zookeeper:3.8.6	Apache-2.0	-	
zookeeper-jute-3.8.6.jar	org.apache.zookeeper:zookeeper-jute:3.8.6	Apache-2.0	-	
zstd-jni-1.5.7-6.jar	com.github.luben:zstd-jni:1.5.7-6	BSD-2-Clause	LICENSE-zstd-jni.txt	
